Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Botswana,BWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,76.1968231201172,75.3002014160156,75.8795700073242,76.5648727416992,78.3988189697266,79.5636215209961,81.6948394775391,82.4867095947266,77.806510925293,..,..,..,..,..,..,..,..,..,..,..,..,70.6292572021484,..,..
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9091.76851349271,9303.64529208666,9616.59485486268,9801.9621245505,10525.7113782454,11081.2474735736,11750.5312437668,12672.5051158078,13445.2454698442,13390.6831313285,14451.7158388109,15211.7920390047,15198.086330971,15722.3335243701,15827.3081625749,14821.4383175183,14309.2061488342,14559.0488897884,15463.7426393743,16069.838015161,16101.6183062954,18075.7060048757,19876.8533531396,21175.6186988214
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,94.5829467773438,104.086219787598,102.780311584473,101.086227416992,102.692901611328,102.989486694336,104.818481445312,103.667556762695,103.882659912109,106.298461914062,105.702369689941,..
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.0634918212891,95.9459533691406,93.7610397338867,94.2840576171875,97.431510925293,106.810440063477,110.118041992188,107.31844329834,..,104.85961151123,105.89769744873,98.2626469085335,97.9949874686717,96.7221135029354,96.8795709410044,99.2168379833578,98.6420950533463,88.7795275590551,65.9177456207159,71.8634001484781,73.9501779359431,75.2016129032258,72.2840270996094,70.4463994786575
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,73086.9318257521,74253.881783985,76838.1757652928,79632.1722336263,80403.7579093987,81534.17153993,86114.3370627638,83693.3213747729,80476.7247575811,77957.1442764098,79542.677943168,82735.3914480561,87256.0422369454,83237.1470879654,81225.5485449793,62707.8264437741,56679.5185221407,61657.6802725444,65148.8264035521,69353.6799514849,69787.9632795717,78248.797127611,81801.7459224403,85032.6008741995
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,82.8583526611328,84.982307434082,86.768928527832,87.8041305541992,90.8928298950195,93.6873092651367,97.5592575073242,98.3408584594727,98.7723617553711,100.720039367676,101.011688232422,102.111122131348,105.229759216309,102.392692565918,96.2848663330078,92.8161697387695,90.0986175537109,88.6814727783203,89.1818084716797,88.2910308837891,86.6857810342997,..,..,91.8381544399811
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6424.14537295881,6960.28610141959,7786.40436399963,8416.40773414609,9200.48242563727,10291.428291498,11405.5885694601,12821.840411182,14346.8484556532,14188.1048821302,14954.2543206827,15747.3476582908,16327.3382758143,16893.7689556096,17990.7621498811,18896.102861651,20745.8472094399,22317.2548948063,23997.6876896184,26765.7192049867,27351.8607448601,30959.1118459807,36320.1422295192,38829.1913208102
Bulgaria,BGR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,80.9440765380859,83.9819869995117,88.118782043457,90.5342712402344,91.3667678833008,92.4120101928711,93.1541595458984,92.3840713500977,92.5213775634766,94.1819229125977,96.4361267089844,95.3903503417969,100.78581237793,104.942199707031,103.889343261719,103.003921508789,103.46102142334,104.043922424316,102.656936645508,101.354942321777,98.7087631225586,96.6720733642578,95.6239624023438
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,896.477481510815,947.919374676953,973.983933383218,1037.83799374653,1079.00009142751,1171.76432319587,1244.00243844319,1290.49951017424,1351.36041569133,1359.69224907302,1449.42216382921,1531.34338243982,1571.83884477315,1642.89213125776,1661.31773793757,1691.57935387408,1881.75893134407,2042.40295259917,2073.3235382155,2232.16282016585,2380.72282781802,2486.43093147762,2645.24067996611,2759.30205484605
Burkina Faso,BFA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,9.85589981079102,10.0396404266357,..,11.2848196029663,12.3676996231079,13.3723297119141,14.1544599533081,15.2793703079224,17.9947395324707,19.4353504180908,21.1780201888507,23.1764371916742,25.2399681000378,27.6008880705968,29.5668744354491,32.8931343608996,34.9336280775566,37.1627510802261,39.6278467471779,40.0770460332282,39.2540084845692,38.1480312365517,33.6212866168282,30.8551216331757
